POPULAÇÕES   RESIDENTES, EM  01.08.2000 E 01.07.2004, ;;;;;;;
E TAXAS MÉDIAS GEOMÉTRICAS ANUAIS DE CRESCIMENTO;;;;;;;
;;;;;;;
SIGLA;COD;COD;MUNICÍPIOS;POP-2000;POP-2004;TAXA;
U.F;U.F.;MUNIC;;censo;estimativa;2000/04;
RO;11;1;Alta Floresta D'Oeste;26.533;29.001;2,297;
RO;11;37;Alto Alegre dos Parecis;12.708;15.449;5,113;
RO;11;40;Alto Paraíso;13.118;16.504;6,038;
RO;11;34;Alvorada D'Oeste;19.832;19.543;-0,374;
RO;11;2;Ariquemes;74.503;86.901;4,008;
RO;11;45;Buritis;25.668;42.686;13,867;
RO;11;3;Cabixi;7.518;7.421;-0,331;
RO;11;60;Cacaulândia;5.372;5.464;0,434;
RO;11;4;Cacoal;73.568;76.417;0,975;
RO;11;70;Campo Novo de Rondônia;11.463;18.606;13,164;
RO;11;80;Candeias do Jamari;13.107;17.338;7,404;
RO;11;90;Castanheiras;4.212;4.092;-0,735;
RO;11;5;Cerejeiras;18.207;17.217;-1,417;
RO;11;92;Chupinguaia;5.521;6.647;4,853;
RO;11;6;Colorado do Oeste;21.892;18.349;-4,407;
RO;11;7;Corumbiara;10.459;9.411;-2,660;
RO;11;8;Costa Marques;9.195;11.731;6,416;
RO;11;94;Cujubim;6.536;9.233;9,221;
RO;11;9;Espigão D'Oeste;25.688;27.556;1,808;
RO;11;100;Governador Jorge Teixeira;13.641;18.777;8,501;
RO;11;10;Guajará-Mirim;38.045;42.075;2,604;
RO;11;110;Itapuã do Oeste;6.822;8.695;6,390;
RO;11;11;Jaru;53.600;56.238;1,234;
RO;11;12;Ji-Paraná;106.800;113.441;1,552;
RO;11;13;Machadinho D'Oeste;22.739;29.698;7,055;
RO;11;120;Ministro Andreazza;11.342;11.223;-0,269;
RO;11;130;Mirante da Serra;13.154;14.150;1,881;
RO;11;140;Monte Negro;12.627;16.874;7,684;
RO;11;14;Nova Brasilândia D'Oeste;17.067;18.003;1,373;
RO;11;33;Nova Mamoré;14.778;20.333;8,488;
RO;11;143;Nova União;8.233;9.524;3,789;
RO;11;50;Novo Horizonte do Oeste;12.276;12.915;1,304;
RO;11;15;Ouro Preto do Oeste;40.884;40.735;-0,093;
RO;11;145;Parecis;3.622;3.205;-3,075;
RO;11;18;Pimenta Bueno;31.752;31.416;-0,271;
RO;11;146;Pimenteiras do Oeste;2.527;2.633;1,055;
RO;11;20;Porto Velho;334.661;380.884;3,358;
RO;11;25;Presidente Médici;26.365;25.314;-1,033;
RO;11;147;Primavera de Rondônia;4.311;4.393;0,482;
RO;11;26;Rio Crespo;2.937;3.602;5,349;
RO;11;28;Rolim de Moura;47.382;49.902;1,332;
RO;11;29;Santa Luzia D'Oeste;11.603;11.068;-1,198;
RO;11;148;São Felipe D'Oeste;7.056;7.266;0,752;
RO;11;149;São Francisco do Guaporé;12.056;17.600;10,142;
RO;11;32;São Miguel do Guaporé;23.874;31.185;7,059;
RO;11;150;Seringueiras;11.697;16.217;8,700;
RO;11;155;Teixeirópolis;5.618;5.894;1,232;
RO;11;160;Theobroma;11.140;14.320;6,621;
RO;11;170;Urupá;14.880;17.756;4,615;
RO;11;175;Vale do Anari;7.737;10.957;9,291;
RO;11;180;Vale do Paraíso;9.863;10.441;1,465;
RO;11;30;Vilhena;53.598;65.785;5,370;
AC;12;1;Acrelândia;7.935;9.049;3,411;
AC;12;5;Assis Brasil;3.490;3.749;1,845;
AC;12;10;Brasiléia;17.013;18.377;1,989;
AC;12;13;Bujari;5.826;7.019;4,871;
AC;12;17;Capixaba;5.206;6.511;5,877;
AC;12;20;Cruzeiro do Sul;67.441;76.301;3,202;
AC;12;25;Epitaciolândia;11.028;12.653;3,572;
AC;12;30;Feijó;26.722;30.763;3,661;
AC;12;32;Jordão;4.454;4.564;0,625;
AC;12;33;Mâncio Lima;11.095;12.563;3,223;
AC;12;34;Manoel Urbano;6.374;7.152;2,984;
AC;12;35;Marechal Thaumaturgo;8.295;8.394;0,303;
AC;12;38;Plácido de Castro;15.172;16.431;2,056;
AC;12;80;Porto Acre;11.418;12.441;2,215;
AC;12;39;Porto Walter;5.485;5.051;-2,083;
AC;12;40;Rio Branco;253.059;284.555;3,040;
AC;12;42;Rodrigues Alves;8.093;8.748;2,007;
AC;12;43;Santa Rosa do Purus;2.246;2.954;7,247;
AC;12;50;Sena Madureira;29.420;31.778;1,988;
AC;12;45;Senador Guiomard;19.761;21.832;2,577;
AC;12;60;Tarauacá;26.037;27.205;1,127;
AC;12;70;Xapuri;11.956;12.544;1,233;
AM;13;2;Alvarães;12.150;13.884;3,465;
AM;13;6;Amaturá;7.308;8.525;4,011;
AM;13;8;Anamã;6.563;6.818;0,978;
AM;13;10;Anori;11.320;12.423;2,402;
AM;13;14;Apuí;13.864;17.715;6,458;
AM;13;20;Atalaia do Norte;10.049;11.023;2,390;
AM;13;30;Autazes;24.345;27.772;3,420;
AM;13;40;Barcelos;24.197;30.429;6,026;
AM;13;50;Barreirinha;22.579;25.545;3,201;
AM;13;60;Benjamin Constant;23.219;25.542;2,464;
AM;13;63;Beruri;11.038;12.744;3,738;
AM;13;68;Boa Vista do Ramos;10.482;11.892;3,275;
AM;13;70;Boca do Acre;26.959;27.884;0,865;
AM;13;80;Borba;28.619;34.018;4,511;
AM;13;83;Caapiranga;8.803;9.736;2,605;
AM;13;90;Canutama;10.737;10.067;-1,632;
AM;13;100;Carauari;23.421;25.373;2,065;
AM;13;110;Careiro;27.554;25.536;-1,923;
AM;13;115;Careiro da Várzea;17.267;16.844;-0,631;
AM;13;120;Coari;67.096;80.552;4,777;
AM;13;130;Codajás;17.507;19.422;2,686;
AM;13;140;Eirunepé;26.074;28.774;2,548;
AM;13;150;Envira;19.060;20.348;1,684;
AM;13;160;Fonte Boa;29.155;35.752;5,346;
AM;13;165;Guajará;13.220;14.037;1,543;
AM;13;170;Humaitá;32.796;29.957;-2,285;
AM;13;180;Ipixuna;14.759;17.177;3,950;
AM;13;185;Iranduba;32.303;38.661;4,694;
AM;13;190;Itacoatiara;72.105;78.425;2,168;
AM;13;195;Itamarati;8.406;8.084;-0,992;
AM;13;200;Itapiranga;7.309;8.337;3,417;
AM;13;210;Japurá;12.639;12.942;0,607;
AM;13;220;Juruá;6.584;7.313;2,717;
AM;13;230;Jutaí;22.500;26.103;3,865;
AM;13;240;Lábrea;28.956;27.017;-1,754;
AM;13;250;Manacapuru;73.695;81.518;2,609;
