BRASIL;159.636.413
REGIÃO NORTE;11.604.158
RONDÔNIA;1.255.522
ACRE;500.185
AMAZONAS;2.460.602
RORAIMA;254.499
PARÁ;5.650.681
AMAPÁ;401.916
TOCANTINS;1.080.753
REGIÃO NORDESTE;45.334.385
MARANHÃO;5.295.452
PIAUÍ;2.695.876
CEARÁ ;6.920.292
RIO GRANDE DO NORTE;2.594.340
PARAÍBA;3.331.673
PERNANBUCO;7.466.773
ALAGOAS;2.663.071
SERGIPE;1.657.164
BAHIA;12.709.744
REGIÃO SUDESTE  ;68.065.957
MINAS GERAIS;16.904.977
ESPÍRITO SANTO;2.853.098
RIO DE JANEIRO;13.555.657
SÃO PAULO;34.752.225
REGIÃO SUL;23.862.664
PARANÁ;9.142.215
SANTA CATARINA;4.958.339
RIO GRANDE DO SUL;9.762.110
REGIÃO CENTRO-OESTE;10.769.249
MATO GROSSO DO SUL;1.964.603
MATO GROSSO;2.287.846
GOIÁS;4.639.785
DISTRITO FEDERAL;1.877.015
