ESTIMATIVAS DA POPULAÇÃO RESIDENTE NO BRASIL E UNIDADES DA FEDERAÇÃO COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2017;;
BRASIL E UNIDADES DA FEDERAÇÃO;;POPULAÇÃO ESTIMADA
Brasil;;207.660.929
Região Norte;;17.936.201
Rondônia;;1.805.788
Acre;;829.619
Amazonas;;4.063.614
Roraima;;522.636
Pará;;8.366.628
Amapá;;797.722
Tocantins;;1.550.194
Região Nordeste;;57.254.159
Maranhão;;7.000.229
Piauí;;3.219.257 (*)
Ceará;;9.020.460 (*)
Rio Grande do Norte;;3.507.003
Paraíba;;4.025.558
Pernambuco;;9.473.266 (**)
Alagoas;;3.375.823 (**)
Sergipe;;2.288.116
Bahia;;15.344.447
Região Sudeste;;86.949.714
Minas Gerais;;21.119.536
Espírito Santo;;4.016.356
Rio de Janeiro;;16.718.956
São Paulo;;45.094.866
Região Sul;;29.644.948
Paraná;;11.320.892
Santa Catarina;;7.001.161
Rio Grande do Sul;;11.322.895
Região Centro-Oeste;;15.875.907
Mato Grosso do Sul;;2.713.147
Mato Grosso;;3.344.544
Goiás;;6.778.772
Distrito Federal;;3.039.444
;;
Fonte: IBGE. Diretoria de Pesquisas - DPE -  Coordenação de População e Indicadores Sociais - COPIS.;;
 Notas:;;
 (*) diferença de 772 pessoas entre os Estados do Piauí e Ceará com relação a Projeção da População para o Brasil e Unidades da Federação 2013, para o ano de 2017, em virtude de alteração de limites entre municípios na fronteira interestadual.;;
 (**) diferença de 441 pessoas entre os Estados de Alagoas e Pernambuco com relação a Projeção da População para o Brasil e Unidades da Federação 2013, para o ano de 2017, em virtude de alteração de limites entre municípios na fronteira interestadual.;;
