ESTIMATIVAS DA POPULAÇÃO RESIDENTE NO BRASIL E UNIDADES DA FEDERAÇÃO COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2019;;;;;
BRASIL E UNIDADES DA FEDERAÇÃO;;POPULAÇÃO ESTIMADA;;;
Brasil;;210.147.125;;;
Região Norte;;18.430.980;;;
Rondônia;;1.777.225;;;
Acre;;881.935;;;
Amazonas;;4.144.597;;;
Roraima;;605.761;;;
Pará;;8.602.865;;;
Amapá;;845.731;;;
Tocantins;;1.572.866;;;
Região Nordeste;;57.071.654;;;
Maranhão;;7.075.181;;;
Piauí;;3.273.227(1);;;
Ceará;;9.132.078(1);;;
Rio Grande do Norte;;3.506.853;;;
Paraíba;;4.018.127;;;
Pernambuco;;9.557.071(2);;;
Alagoas;;3.337.357(2);;;
Sergipe;;2.298.696(3);;;
Bahia;;14.873.064(3);;;
Região Sudeste;;88.371.433;;;
Minas Gerais;;21.168.791;;;
Espírito Santo;;4.018.650;;;
Rio de Janeiro;;17.264.943;;;
São Paulo;;45.919.049;;;
Região Sul;;29.975.984;;;
Paraná;;11.433.957;;;
Santa Catarina;;7.164.788;;;
Rio Grande do Sul;;11.377.239;;;
Região Centro-Oeste;;16.297.074;;;
Mato Grosso do Sul;;2.778.986;;;
Mato Grosso;;3.484.466;;;
Goiás;;7.018.354(4);;;
Distrito Federal;;3.015.268(4);;;
;;;;;
Fonte: IBGE. Diretoria de Pesquisas - DPE -  Coordenação de População e Indicadores Sociais - COPIS.;;;;;
 Notas:;;;;;
 (1) Diferença de 780 pessoas entre os Estados do Piauí e Ceará com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
 (2) Diferença de 446 pessoas entre os Estados de Alagoas e Pernambuco com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
 (3) Diferença de 206 pessoas entre os Estados de Sergipe e Bahia com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
 (4) Diferença de 2.250 pessoas entre o Estado de Goiás e o Distrito Federal com relação a Projeção da População para o Brasil e Unidades da Federação 2019, para o ano de 2019, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
