Brasil;;211.755.692;;;
Região Norte;;18.672.591;;;
Rondônia;;1.796.460;;;
Acre;;894.470;;;
Amazonas;;4.207.714;;;
Roraima;;631.181;;;
Pará;;8.690.745;;;
Amapá;;861.773;;;
Tocantins;;1.590.248;;;
Região Nordeste;;57.374.243;;;
Maranhão;;7.114.598;;;
Piauí;;3.281.480(1);;;
Ceará;;9.187.103(1);;;
Rio Grande do Norte;;3.534.165;;;
Paraíba;;4.039.277;;;
Pernambuco;;9.616.621(2);;;
Alagoas;;3.351.543(2);;;
Sergipe;;2.318.822(3);;;
Bahia;;14.930.634(3);;;
Região Sudeste;;89.012.240;;;
Minas Gerais;;21.292.666;;;
Espírito Santo;;4.064.052;;;
Rio de Janeiro;;17.366.189;;;
São Paulo;;46.289.333;;;
Região Sul;;30.192.315;;;
Paraná;;11.516.840;;;
Santa Catarina;;7.252.502;;;
Rio Grande do Sul;;11.422.973;;;
Região Centro-Oeste;;16.504.303;;;
Mato Grosso do Sul;;2.809.394;;;
Mato Grosso;;3.526.220;;;
Goiás;;7.113.540(4);;;
Distrito Federal;;3.055.149(4);;;
;;;;;
