POPULAÇÕES RESIDENTES ESTIMADAS, EM 1º DE JULHO DE 2001,;;;;;;
SEGUNDO OS MUNICÍPIOS;;;;;;
;;;;;;
SIGLA;COD;COD.;MUNICÍPIOS;POP-2001;;
U.F;U.F.;MUNIC;;;;
RO;11;1;Alta Floresta D'Oeste;26.919;;
RO;11;37;Alto Alegre dos Parecis;13.153;;
RO;11;40;Alto Paraíso;13.693;;
RO;11;34;Alvorada D'Oeste;19.770;;
RO;11;2;Ariquemes;76.371;;
RO;11;45;Buritis;28.132;;
RO;11;3;Cabixi;7.501;;
RO;11;60;Cacaulândia;5.355;;
RO;11;4;Cacoal;73.996;;
RO;11;70;Campo Novo de Rondônia;12.633;;
RO;11;80;Candeias do Jamari;13.816;;
RO;11;90;Castanheiras;4.189;;
RO;11;5;Cerejeiras;18.012;;
RO;11;92;Chupinguaia;5.701;;
RO;11;6;Colorado do Oeste;21.421;;
RO;11;7;Corumbiara;10.290;;
RO;11;8;Costa Marques;10.679;;
RO;11;94;Cujubim;6.976;;
RO;11;9;Espigão D'Oeste;25.985;;
RO;11;100;Governador Jorge Teixeira;14.497;;
RO;11;10;Guajará-Mirim;38.679;;
RO;11;110;Itapuã do Oeste;7.127;;
RO;11;11;Jaru;53.150;;
RO;11;12;Ji-Paraná;107.869;;
RO;11;13;Machadinho D'Oeste;23.873;;
RO;11;120;Ministro Andreazza;11.321;;
RO;11;130;Mirante da Serra;13.306;;
RO;11;140;Monte Negro;13.217;;
RO;11;14;Nova Brasilândia D'Oeste;17.216;;
RO;11;33;Nova Mamoré;15.692;;
RO;11;143;Nova União;8.438;;
RO;11;50;Novo Horizonte do Oeste;12.367;;
RO;11;15;Ouro Preto do Oeste;40.836;;
RO;11;145;Parecis;3.545;;
RO;11;18;Pimenta Bueno;31.685;;
RO;11;146;Pimenteiras do Oeste;2.544;;
RO;11;20;Porto Velho;342.264;;
RO;11;25;Presidente Médici;26.164;;
RO;11;147;Primavera de Rondônia;4.325;;
RO;11;26;Rio Crespo;3.054;;
RO;11;28;Rolim de Moura;47.693;;
RO;11;29;Santa Luzia D'Oeste;11.512;;
RO;11;148;São Felipe D'Oeste;7.088;;
RO;11;149;São Francisco do Guaporé;11.963;;
RO;11;32;São Miguel do Guaporé;25.065;;
RO;11;150;Seringueiras;12.409;;
RO;11;155;Teixeirópolis;5.673;;
RO;11;160;Theobroma;11.651;;
RO;11;170;Urupá;15.354;;
RO;11;175;Vale do Anari;8.246;;
RO;11;180;Vale do Paraíso;9.958;;
RO;11;30;Vilhena;55.513;;
AC;12;1;Acrelândia;8.237;;
AC;12;5;Assis Brasil;3.564;;
AC;12;10;Brasiléia;17.384;;
AC;12;13;Bujari;6.154;;
AC;12;17;Capixaba;5.561;;
AC;12;20;Cruzeiro do Sul;69.772;;
AC;12;25;Epitaciolândia;11.460;;
AC;12;30;Feijó;27.834;;
AC;12;32;Jordão;4.490;;
AC;12;33;Mâncio Lima;11.471;;
AC;12;34;Manoel Urbano;6.581;;
AC;12;35;Marechal Thaumaturgo;8.321;;
AC;12;38;Plácido de Castro;15.502;;
AC;12;80;Porto Acre;11.679;;
AC;12;39;Porto Walter;5.368;;
AC;12;40;Rio Branco;261.430;;
AC;12;42;Rodrigues Alves;8.276;;
AC;12;43;Santa Rosa do Purus;2.440;;
