ESTIMATIVAS DAS POPULAÇÕES RESIDENTES, EM  01.07.2002,;;;;
SEGUNDO OS MUNICÍPIOS;;;;
;;;;
SIGLA;COD;COD;MUNICÍPIOS;POP-2002
;U.F.;MUNIC;;
;;;;
RO;11;1;Alta Floresta D'Oeste;27.237
RO;11;37;Alto Alegre dos Parecis;13.490
RO;11;40;Alto Paraíso;14.084
RO;11;34;Alvorada D'Oeste;19.750
RO;11;2;Ariquemes;78.039
RO;11;45;Buritis;30.521
RO;11;3;Cabixi;7.490
RO;11;60;Cacaulândia;5.398
RO;11;4;Cacoal;74.381
RO;11;70;Campo Novo de Rondônia;13.500
RO;11;80;Candeias do Jamari;14.314
RO;11;90;Castanheiras;4.178
RO;11;5;Cerejeiras;17.925
RO;11;92;Chupinguaia;5.842
RO;11;6;Colorado do Oeste;20.881
RO;11;7;Corumbiara;10.160
RO;11;8;Costa Marques;9.919
RO;11;94;Cujubim;7.305
RO;11;9;Espigão D'Oeste;26.221
RO;11;100;Governador Jorge Teixeira;15.106
RO;11;10;Guajará-Mirim;39.194
RO;11;110;Itapuã do Oeste;7.356
RO;11;11;Jaru;54.352
RO;11;12;Ji-Paraná;108.694
RO;11;13;Machadinho D'Oeste;24.724
RO;11;120;Ministro Andreazza;11.308
RO;11;130;Mirante da Serra;13.438
RO;11;140;Monte Negro;13.838
RO;11;14;Nova Brasilândia D'Oeste;17.334
RO;11;33;Nova Mamoré;16.362
RO;11;143;Nova União;8.601
RO;11;50;Novo Horizonte do Oeste;12.458
RO;11;15;Ouro Preto do Oeste;40.841
RO;11;145;Parecis;3.503
RO;11;18;Pimenta Bueno;31.656
RO;11;146;Pimenteiras do Oeste;2.557
RO;11;20;Porto Velho;347.844
RO;11;25;Presidente Médici;26.065
RO;11;147;Primavera de Rondônia;4.334
RO;11;26;Rio Crespo;3.127
RO;11;28;Rolim de Moura;48.101
RO;11;29;Santa Luzia D'Oeste;11.450
RO;11;148;São Felipe D'Oeste;7.116
