ESTIMATIVAS DAS POPULAÇÕES (*)  RESIDENTES, EM  01.07.2003,;;;;
SEGUNDO OS MUNICÍPIOS;;;;
;;;;
SIGLA;COD;COD;MUNICÍPIOS;POP-2003
U.F;U.F.;MUNIC;;
RO;11;1;Alta Floresta D'Oeste;27.563
RO;11;37;Alto Alegre dos Parecis;13.852
RO;11;40;Alto Paraíso;14.532
RO;11;34;Alvorada D'Oeste;19.711
RO;11;2;Ariquemes;79.680
RO;11;45;Buritis;32.774
RO;11;3;Cabixi;7.478
RO;11;60;Cacaulândia;5.411
RO;11;4;Cacoal;74.758
RO;11;70;Campo Novo de Rondônia;14.446
RO;11;80;Candeias do Jamari;14.874
RO;11;90;Castanheiras;4.162
RO;11;5;Cerejeiras;17.794
RO;11;92;Chupinguaia;5.991
RO;11;6;Colorado do Oeste;20.412
RO;11;7;Corumbiara;10.022
RO;11;8;Costa Marques;10.255
RO;11;94;Cujubim;7.662
RO;11;9;Espigão D'Oeste;26.468
RO;11;100;Governador Jorge Teixeira;15.785
RO;11;10;Guajará-Mirim;39.728
RO;11;110;Itapuã do Oeste;7.604
RO;11;11;Jaru;54.701
RO;11;12;Ji-Paraná;109.573
RO;11;13;Machadinho D'Oeste;25.645
RO;11;120;Ministro Andreazza;11.292
RO;11;130;Mirante da Serra;13.570
RO;11;140;Monte Negro;14.400
RO;11;14;Nova Brasilândia D'Oeste;17.458
RO;11;33;Nova Mamoré;17.098
RO;11;143;Nova União;8.772
RO;11;50;Novo Horizonte do Oeste;12.543
RO;11;15;Ouro Preto do Oeste;40.822
RO;11;145;Parecis;3.448
RO;11;18;Pimenta Bueno;31.612
RO;11;146;Pimenteiras do Oeste;2.571
RO;11;20;Porto Velho;353.961
RO;11;25;Presidente Médici;25.926
RO;11;147;Primavera de Rondônia;4.345
RO;11;26;Rio Crespo;3.215
RO;11;28;Rolim de Moura;48.434
RO;11;29;Santa Luzia D'Oeste;11.380
RO;11;148;São Felipe D'Oeste;7.143
RO;11;149;São Francisco do Guaporé;14.370
RO;11;32;São Miguel do Guaporé;26.927
RO;11;150;Seringueiras;13.584
RO;11;155;Teixeirópolis;5.733
RO;11;160;Theobroma;12.468
RO;11;170;Urupá;16.081
RO;11;175;Vale do Anari;9.081
RO;11;180;Vale do Paraíso;10.105
RO;11;30;Vilhena;58.687
AC;12;1;Acrelândia;8.695
AC;12;5;Assis Brasil;3.667
AC;12;10;Brasiléia;17.944
AC;12;13;Bujari;6.641
AC;12;17;Capixaba;6.096
AC;12;20;Cruzeiro do Sul;73.488
AC;12;25;Epitaciolândia;12.137
AC;12;30;Feijó;29.480
AC;12;32;Jordão;4.529
AC;12;33;Mâncio Lima;12.097
AC;12;34;Manoel Urbano;6.905
AC;12;35;Marechal Thaumaturgo;8.362
AC;12;38;Plácido de Castro;16.031
AC;12;80;Porto Acre;12.116
AC;12;39;Porto Walter;5.189
AC;12;40;Rio Branco;274.555
AC;12;42;Rodrigues Alves;8.540
AC;12;43;Santa Rosa do Purus;2.729
AC;12;50;Sena Madureira;31.029
AC;12;45;Senador Guiomard;21.174
AC;12;60;Tarauacá;26.834
AC;12;70;Xapuri;12.357
AM;13;2;Alvarães;13.278
AM;13;6;Amaturá;8.100
AM;13;8;Anamã;6.729
AM;13;10;Anori;12.038
AM;13;14;Apuí;16.369
AM;13;20;Atalaia do Norte;10.682
AM;13;30;Autazes;26.575
AM;13;40;Barcelos;28.252
AM;13;50;Barreirinha;24.508
AM;13;60;Benjamin Constant;24.731
AM;13;63;Beruri;12.148
AM;13;68;Boa Vista do Ramos;11.399
AM;13;70;Boca do Acre;27.561
AM;13;80;Borba;32.131
AM;13;83;Caapiranga;9.410
AM;13;90;Canutama;10.301
AM;13;100;Carauari;24.691
AM;13;110;Careiro;26.241
AM;13;115;Careiro da Várzea;16.992
AM;13;120;Coari;75.850
AM;13;130;Codajás;18.753
AM;13;140;Eirunepé;27.831
AM;13;150;Envira;19.898
AM;13;160;Fonte Boa;36.150
AM;13;165;Guajará;13.751
AM;13;170;Humaitá;30.949
AM;13;180;Ipixuna;16.332
AM;13;185;Iranduba;36.439
AM;13;190;Itacoatiara;76.217
AM;13;195;Itamarati;8.197
AM;13;200;Itapiranga;7.978
