ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2024;;;;;
UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;
RO;11;00015;Alta Floresta D'Oeste;22.853;
RO;11;00023;Ariquemes;108.573;
RO;11;00031;Cabixi;5.690;
RO;11;00049;Cacoal;97.637;
RO;11;00056;Cerejeiras;16.975;
RO;11;00064;Colorado do Oeste;16.588;
RO;11;00072;Corumbiara;8.001;
RO;11;00080;Costa Marques;13.522;
RO;11;00098;Espigão D'Oeste;32.717;
RO;11;00106;Guajará-Mirim;43.553;
RO;11;00114;Jaru;55.583;
RO;11;00122;Ji-Paraná;139.359;
RO;11;00130;Machadinho D'Oeste;34.063;
RO;11;00148;Nova Brasilândia D'Oeste;16.504;
RO;11;00155;Ouro Preto do Oeste;38.681;
RO;11;00189;Pimenta Bueno;39.053;
RO;11;00205;Porto Velho;514.873;(1)
RO;11;00254;Presidente Médici;20.518;
RO;11;00262;Rio Crespo;3.753;
RO;11;00288;Rolim de Moura;62.559;
RO;11;00296;Santa Luzia D'Oeste;7.877;
RO;11;00304;Vilhena;108.528;
RO;11;00320;São Miguel do Guaporé;22.267;
RO;11;00338;Nova Mamoré;28.496;
RO;11;00346;Alvorada D'Oeste;13.837;
RO;11;00379;Alto Alegre dos Parecis;12.263;
RO;11;00403;Alto Paraíso;17.463;
RO;11;00452;Buritis;30.729;
RO;11;00502;Novo Horizonte do Oeste;8.056;
RO;11;00601;Cacaulândia;4.345;
RO;11;00700;Campo Novo de Rondônia;9.225;
RO;11;00809;Candeias do Jamari;24.163;
RO;11;00908;Castanheiras;3.456;
RO;11;00924;Chupinguaia;10.129;
RO;11;00940;Cujubim;15.883;
RO;11;01005;Governador Jorge Teixeira;8.420;
RO;11;01104;Itapuã do Oeste;9.209;
RO;11;01203;Ministro Andreazza;6.657;
RO;11;01302;Mirante da Serra;9.740;
RO;11;01401;Monte Negro;12.241;
RO;11;01435;Nova União;6.577;
RO;11;01450;Parecis;4.390;
RO;11;01468;Pimenteiras do Oeste;2.311;
RO;11;01476;Primavera de Rondônia;3.279;
RO;11;01484;São Felipe D'Oeste;5.605;
RO;11;01492;São Francisco do Guaporé;17.511;
RO;11;01500;Seringueiras;12.954;
RO;11;01559;Teixeirópolis;4.536;
RO;11;01609;Theobroma;8.540;
RO;11;01708;Urupá;11.377;
RO;11;01757;Vale do Anari;8.265;
RO;11;01807;Vale do Paraíso;6.843;
AC;12;00013;Acrelândia;14.657;
AC;12;00054;Assis Brasil;8.573;
AC;12;00104;Brasiléia;27.841;
AC;12;00138;Bujari;13.766;
AC;12;00179;Capixaba;10.922;
AC;12;00203;Cruzeiro do Sul;98.382;
