ESTIMATIVAS DAS POPULAÇÕES  RESIDENTES, EM  01.07.2005,;;;;
SEGUNDO OS MUNICÍPIOS;;;;
;;;;
SIGLA;COD;COD;MUNICÍPIOS;POP-2005
U.F;U.F.;MUNIC;;
RO;11;1;Alta Floresta D'Oeste;28.629
RO;11;37;Alto Alegre dos Parecis;15.035
RO;11;40;Alto Paraíso;15.993
RO;11;34;Alvorada D'Oeste;19.586
RO;11;2;Ariquemes;85.031
RO;11;45;Buritis;40.120
RO;11;3;Cabixi;7.436
RO;11;60;Cacaulândia;5.450
RO;11;4;Cacoal;75.988
RO;11;70;Campo Novo de Rondônia;17.529
RO;11;80;Candeias do Jamari;16.700
RO;11;90;Castanheiras;4.110
RO;11;5;Cerejeiras;17.366
RO;11;92;Chupinguaia;6.477
RO;11;6;Colorado do Oeste;18.883
RO;11;7;Corumbiara;9.569
RO;11;8;Costa Marques;11.349
RO;11;94;Cujubim;8.827
RO;11;9;Espigão D'Oeste;27.274
RO;11;100;Governador Jorge Teixeira;18.002
RO;11;10;Guajará-Mirim;41.467
RO;11;110;Itapuã do Oeste;8.413
RO;11;11;Jaru;55.840
RO;11;12;Ji-Paraná;112.439
RO;11;13;Machadinho D'Oeste;28.649
RO;11;120;Ministro Andreazza;11.241
RO;11;130;Mirante da Serra;14.000
RO;11;140;Monte Negro;16.233
RO;11;14;Nova Brasilândia D'Oeste;17.862
RO;11;33;Nova Mamoré;19.496
RO;11;143;Nova União;9.329
RO;11;50;Novo Horizonte do Oeste;12.819
RO;11;15;Ouro Preto do Oeste;40.757
RO;11;145;Parecis;3.268
RO;11;18;Pimenta Bueno;31.466
RO;11;146;Pimenteiras do Oeste;2.617
RO;11;20;Porto Velho;373.917
RO;11;25;Presidente Médici;25.473
RO;11;147;Primavera de Rondônia;4.381
RO;11;26;Rio Crespo;3.501
RO;11;28;Rolim de Moura;49.522
RO;11;29;Santa Luzia D'Oeste;11.149
RO;11;148;São Felipe D'Oeste;7.234
RO;11;149;São Francisco do Guaporé;16.764
RO;11;32;São Miguel do Guaporé;30.082
RO;11;150;Seringueiras;15.535
RO;11;155;Teixeirópolis;5.852
RO;11;160;Theobroma;13.840
RO;11;170;Urupá;17.322
RO;11;175;Vale do Anari;10.471
