;;;;;;;
ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2013;;;;;;;
UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;;;
RO;11;00015;Alta Floresta D'Oeste;25.728;;;
RO;11;00379;Alto Alegre dos Parecis;13.827;;;
RO;11;00403;Alto Paraíso;19.459;;;
RO;11;00346;Alvorada D'Oeste;17.399;;;
RO;11;00023;Ariquemes;101.269;;;
RO;11;00452;Buritis;36.555;;;
RO;11;00031;Cabixi;6.495;;;
RO;11;00601;Cacaulândia;6.268;;;
RO;11;00049;Cacoal;85.863;;;
RO;11;00700;Campo Novo de Rondônia;13.939;;;
RO;11;00809;Candeias do Jamari;22.973;;;
RO;11;00908;Castanheiras;3.689;;;
RO;11;00056;Cerejeiras;18.041;;;
RO;11;00924;Chupinguaia;9.636;;;
RO;11;00064;Colorado do Oeste;19.190;;;
RO;11;00072;Corumbiara;9.036;;;
RO;11;00080;Costa Marques;15.853;;;
RO;11;00940;Cujubim;19.410;;;
RO;11;00098;Espigão D'Oeste;31.699;;;
RO;11;01005;Governador Jorge Teixeira;10.534;;;
RO;11;00106;Guajará-Mirim;45.761;;;
RO;11;01104;Itapuã do Oeste;9.661;;;
RO;11;00114;Jaru;55.597;;;
RO;11;00122;Ji-Paraná;128.026;;;
RO;11;00130;Machadinho D'Oeste;35.633;;;
RO;11;01203;Ministro Andreazza;10.899;;;
RO;11;01302;Mirante da Serra;12.469;;;
RO;11;01401;Monte Negro;15.541;;;
RO;11;00148;Nova Brasilândia D'Oeste;21.427;;;
RO;11;00338;Nova Mamoré;26.227;;;
RO;11;01435;Nova União;7.883;;;
RO;11;00502;Novo Horizonte do Oeste;10.515;;;
RO;11;00155;Ouro Preto do Oeste;40.099;;;
RO;11;01450;Parecis;5.477;;;
RO;11;00189;Pimenta Bueno;36.939;;;
RO;11;01468;Pimenteiras do Oeste;2.440;;;
RO;11;00205;Porto Velho;484.992;;;
RO;11;00254;Presidente Médici;23.017;;;
RO;11;01476;Primavera de Rondônia;3.597;;;
RO;11;00262;Rio Crespo;3.666;;;
RO;11;00288;Rolim de Moura;55.357;;;
RO;11;00296;Santa Luzia D'Oeste;8.887;;;
RO;11;01484;São Felipe D'Oeste;6.219;;;
RO;11;01492;São Francisco do Guaporé;18.265;;;
RO;11;00320;São Miguel do Guaporé;23.668;;;
RO;11;01500;Seringueiras;12.505;;;
RO;11;01559;Teixeirópolis;5.080;;;
RO;11;01609;Theobroma;11.343;;;
RO;11;01708;Urupá;13.491;;;
RO;11;01757;Vale do Anari;10.518;;;
RO;11;01807;Vale do Paraíso;8.425;;;
RO;11;00304;Vilhena;87.727;;;
AC;12;00013;Acrelândia;13.353;;;
AC;12;00054;Assis Brasil;6.480;;;
AC;12;00104;Brasiléia;22.899;;;
AC;12;00138;Bujari;9.003;;;
AC;12;00179;Capixaba;9.836;;;
AC;12;00203;Cruzeiro do Sul;80.377;;;
AC;12;00252;Epitaciolândia;16.099;;;
AC;12;00302;Feijó;32.411;;;
AC;12;00328;Jordão;7.147;;;
AC;12;00336;Mâncio Lima;16.410;;;
AC;12;00344;Manoel Urbano;8.386;;;
AC;12;00351;Marechal Thaumaturgo;15.857;;;
AC;12;00385;Plácido de Castro;17.795;;;
AC;12;00807;Porto Acre;16.029;;;
AC;12;00393;Porto Walter;10.143;;;
