ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2016;;;;;;
UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;;
RO;11;00015;Alta Floresta D'Oeste;25.506;;
RO;11;00023;Ariquemes;105.896;;
RO;11;00031;Cabixi;6.289;;
RO;11;00049;Cacoal;87.877;;
RO;11;00056;Cerejeiras;17.959;;
RO;11;00064;Colorado do Oeste;18.639;;
RO;11;00072;Corumbiara;8.749;;
RO;11;00080;Costa Marques;17.031;;
RO;11;00098;Espigão D'Oeste;32.712;;
RO;11;00106;Guajará-Mirim;47.048;;
RO;11;00114;Jaru;55.806;;
RO;11;00122;Ji-Paraná;131.560;;
RO;11;00130;Machadinho D'Oeste;37.899;;
RO;11;00148;Nova Brasilândia D'Oeste;21.670;;
RO;11;00155;Ouro Preto do Oeste;39.840;;
RO;11;00189;Pimenta Bueno;37.786;;
RO;11;00205;Porto Velho;511.219(1);;
RO;11;00254;Presidente Médici;22.337;;
RO;11;00262;Rio Crespo;3.790;;
RO;11;00288;Rolim de Moura;56.664;;
RO;11;00296;Santa Luzia D'Oeste;8.362;;
RO;11;00304;Vilhena;93.745;;
RO;11;00320;São Miguel do Guaporé;24.059;;
RO;11;00338;Nova Mamoré;28.255;;
RO;11;00346;Alvorada D'Oeste;16.902;;
RO;11;00379;Alto Alegre dos Parecis;13.993;;
RO;11;00403;Alto Paraíso;20.569;;
RO;11;00452;Buritis;38.450;;
RO;11;00502;Novo Horizonte do Oeste;10.161;;
RO;11;00601;Cacaulândia;6.414;;
RO;11;00700;Campo Novo de Rondônia;14.354;;
RO;11;00809;Candeias do Jamari;24.719;;
RO;11;00908;Castanheiras;3.583;;
RO;11;00924;Chupinguaia;10.364;;
RO;11;00940;Cujubim;21.720;;
RO;11;01005;Governador Jorge Teixeira;9.933;;
RO;11;01104;Itapuã do Oeste;10.155;;
RO;11;01203;Ministro Andreazza;10.786;;
RO;11;01302;Mirante da Serra;12.308;;
RO;11;01401;Monte Negro;16.032;;
RO;11;01435;Nova União;7.796;;
RO;11;01450;Parecis;5.802;;
RO;11;01468;Pimenteiras do Oeste;2.417;;
RO;11;01476;Primavera de Rondônia;3.456;;
RO;11;01484;São Felipe D'Oeste;6.048;;
RO;11;01492;São Francisco do Guaporé;19.353;;
RO;11;01500;Seringueiras;12.617;;
RO;11;01559;Teixeirópolis;4.966;;
RO;11;01609;Theobroma;11.348;;
RO;11;01708;Urupá;13.198;;
RO;11;01757;Vale do Anari;10.999;;
RO;11;01807;Vale do Paraíso;8.138;;
AC;12;00013;Acrelândia;14.120;;
AC;12;00054;Assis Brasil;6.863;;
AC;12;00104;Brasiléia;24.311;;
AC;12;00138;Bujari;9.503;;
AC;12;00179;Capixaba;10.820;;
AC;12;00203;Cruzeiro do Sul;82.075;;
AC;12;00252;Epitaciolândia;17.038;;
AC;12;00302;Feijó;32.372;;
AC;12;00328;Jordão;7.685;;
AC;12;00336;Mâncio Lima;17.545;;
AC;12;00344;Manoel Urbano;8.765;;
AC;12;00351;Marechal Thaumaturgo;17.401;;
AC;12;00385;Plácido de Castro;18.336;;
AC;12;00393;Porto Walter;11.059;;
AC;12;00401;Rio Branco;377.057;;
AC;12;00427;Rodrigues Alves;17.464;;
AC;12;00435;Santa Rosa do Purus;6.021;;
AC;12;00450;Senador Guiomard;21.369;;
AC;12;00500;Sena Madureira;42.451;;
AC;12;00609;Tarauacá;39.427;;
AC;12;00708;Xapuri;17.894;;
AC;12;00807;Porto Acre;17.111;;
AM;13;00029;Alvarães;15.729;;
AM;13;00060;Amaturá;11.047;;
AM;13;00086;Anamã;12.653;;
AM;13;00102;Anori;19.749;;
AM;13;00144;Apuí;21.031;;
AM;13;00201;Atalaia do Norte;18.599;;
AM;13;00300;Autazes;37.752;;
AM;13;00409;Barcelos;27.589;;
AM;13;00508;Barreirinha;31.105;;
AM;13;00607;Benjamin Constant;40.417;;
AM;13;00631;Beruri;18.579;;
AM;13;00680;Boa Vista do Ramos;18.080;;
AM;13;00706;Boca do Acre;33.840;;
AM;13;00805;Borba;39.885;;
AM;13;00839;Caapiranga;12.622;;
AM;13;00904;Canutama;15.312;;
AM;13;01001;Carauari;28.111;;
AM;13;01100;Careiro;36.922;;
AM;13;01159;Careiro da Várzea;28.592;;
AM;13;01209;Coari;83.929;;
AM;13;01308;Codajás;27.303;;
AM;13;01407;Eirunepé;34.461;;
AM;13;01506;Envira;19.143;;
AM;13;01605;Fonte Boa;20.199;;
AM;13;01654;Guajará;16.085;;
AM;13;01704;Humaitá;52.354;;
AM;13;01803;Ipixuna;27.587;;
AM;13;01852;Iranduba;46.703;;
AM;13;01902;Itacoatiara;98.503;;
AM;13;01951;Itamarati;8.153;;
AM;13;02009;Itapiranga;9.040;;
AM;13;02108;Japurá;4.660;;
AM;13;02207;Juruá;13.581;;
AM;13;02306;Jutaí;16.200;;
AM;13;02405;Lábrea;44.071;;
AM;13;02504;Manacapuru;95.330;;
AM;13;02553;Manaquiri;29.327;;
AM;13;02603;Manaus;2.094.391;;
AM;13;02702;Manicoré;53.890;;
AM;13;02801;Maraã;18.477;;
AM;13;02900;Maués;61.110;;
AM;13;03007;Nhamundá;20.633;;
AM;13;03106;Nova Olinda do Norte;35.800;;
AM;13;03205;Novo Airão;18.133;;
AM;13;03304;Novo Aripuanã;24.718;;
AM;13;03403;Parintins;112.716;;
AM;13;03502;Pauini;19.488;;
AM;13;03536;Presidente Figueiredo;33.703;;
AM;13;03569;Rio Preto da Eva;31.274;;
AM;13;03601;Santa Isabel do Rio Negro;23.092;;
AM;13;03700;Santo Antônio do Içá;23.378;;
AM;13;03809;São Gabriel da Cachoeira;43.831;;
AM;13;03908;São Paulo de Olivença;37.300;;
AM;13;03957;São Sebastião do Uatumã;13.105;;
AM;13;04005;Silves;9.147;;
AM;13;04062;Tabatinga;62.346;;
AM;13;04104;Tapauá;18.039;;
AM;13;04203;Tefé;62.230;;
AM;13;04237;Tonantins;18.632;;
AM;13;04260;Uarini;13.276;;
AM;13;04302;Urucará;17.065;;
AM;13;04401;Urucurituba;21.650;;
RR;14;00027;Amajari;11.285;;
RR;14;00050;Alto Alegre;16.053;;
